cameralocation,cameranumber,cameraproject,location_1
Fallsway and Eager,2506,Dept of Corrections,POINT(-76.61103761735232 39.30091613985553)
JFX South,2507,Dept of Corrections,POINT(-76.61106079564594 39.30044169163584)
JFX North,2508,Dept of Corrections,POINT(-76.61123116692674 39.29962461311865)
N Charles St and Center St,2601,Midtown,POINT(-76.61537124561379 39.29658862390733)
N Charles St and Madison St,2602,Midtown,POINT(-76.61585964315559 39.29820487474785)
N Charles St and Read Ave,2603,Midtown,POINT(-76.61574700803557 39.29958892517453)
Park Ave and Read St,2604,Midtown,POINT(-76.61862571161997 39.30024264143422)
N Charles St and Eager St,2605,Midtown,POINT(-76.61575375335914 39.30092829062784)
N Charles St and Chase St,2606,Midtown,POINT(-76.61592230885968 39.30211682138382)
N Charles St and E Biddle St,2607,Midtown,POINT(-76.61590889959727 39.30331949701127)
N Charles St and Preston St,2608,Midtown,POINT(-76.61637031882806 39.3046242950258)
N Charles St and Mt Royal Ave,2609,Midtown,POINT(-76.61636422321371 39.30544769249558)
N Charles St and Lanvale St,2610,Midtown,POINT(-76.61610089033239 39.3088704601735)
N Charles St and North Ave,2611,Midtown,POINT(-76.61642865317393 39.31162073852881)
N Charles St and 20th St,2612,Midtown,POINT(-76.61661033439026 39.31303647369579)
