the_geom,Score,Match_type,Side,Status,X,Y,Match_addr,ARC_Street,Number,Name,Installed
POINT (-78.82778001062978 42.91448497866053),55,M,,M,1082810.184993431,1062004.3950496465,E FERRY ST & CARL ST,FERRY / CARL,E27,Ferry / Carl,10/1/2012
POINT (-78.85397196875064 42.902078958694275),71,A,,M,1075779.4349868856,1057504.5150454491,JEFFERSON AVE & E NORTH ST,Jefferson / North St,B25,Jefferson / North St,11/1/2012
POINT (-78.80722001053502 42.853203014487526),69,A,,T,1088258.3349985033,1039655.055028826,SENECA ST & CAZENOVIA ST,Seneca /Cazenovia,A7,Seneca /Cazenovia,11/1/2012
POINT (-78.90380093531752 42.949682976317575),69,A,,M,1062494.8349745162,1074900.6650616527,TONAWANDA ST & ONTARIO ST,Tonawanda / Ontario,D26,Tonawanda / Ontario,10/1/2012
POINT (-78.88323689452355 42.878771869718406),100,PP,,M,1067908.2153745007,1049036.8845768387,,ERIE / TEMPLETON,B26,Erie / Templeton,2/1/2013
POINT (-78.87852170425238 42.87631343473778),100,PP,,M,1069168.8924578335,1048136.4505490614,,PERRY / PRIME,B27,Perry / Prime,2/1/2013
POINT (-78.87862076881588 42.87763081674731),100,PP,,M,1069144.022666167,1048616.6588823944,,22 MARINE,B28,22 Marine,2/1/2013
POINT (-78.87791300025758 42.89222097905084),71,A,,T,1069352.3349809013,1053933.3350421265,S ELMWOOD AVE & S JOHNSON PARK,S Elmwood / Johnson Pk,B15,S Elmwood / Johnson Pk,10/1/2012
POINT (-78.84950402682597 42.92533802472264),69,A,,M,1077003.3449880257,1065977.435053341,LORING AVE & MEECH AVE,Loring / Meech,E22,Loring / Meech,1/1/2013
POINT (-78.84409796979837 42.943887985179664),69,A,,M,1078472.2049893923,1072733.4350596368,DEPEW AVE & STARIN AVE,Depew / Starin,D19,Depew / Starin,4/1/2013
POINT (-78.82918296064146 42.93273600668308),69,A,,M,1082453.8049931042,1068657.0650558323,GRIDER ST & LEROY AVE,Grider / Leroy,E21,Grider / Leroy,11/1/2012
POINT (-78.9002188616234 42.93183065862254),75,A,R,M,1063429.3281260768,1068390.7428596597,1731 NIAGARA ST,1731 Niagara,D7,1731 Niagara,4/1/2013
POINT (-78.89957617115584 42.89668284128956),100,PP,,M,1063553.299705452,1055580.5115287912,,1 AMVETS,B16,1 Amvets,10/1/2012
POINT (-78.9028658290701 42.9131214552413),100,PP,,M,1062694.569864609,1061574.865718507,,1 W FERRY ST,D6,1 W Ferry St,10/1/2012
POINT (-78.86955488936505 42.897719715927174),75,M,L,M,1071598.8967159018,1055929.6100055352,882 WASHINGTON ST,882 WASHINGTON,B20,882 Washington,4/1/2013
POINT (-78.86552601874959 42.89694701276523),69,M,,M,1072677.4849839993,1055644.3550437167,VIRGINIA ST & ELM ST,VIRGINIA / ELM,B19,Virginia / Elm,4/1/2013
POINT (-78.87924695266528 42.88585270114347),100,PP,,M,1068986.7138316266,1051613.687410514,,NIAGARA SQ - TURNER RAMP,B21,Niagara Sq - Turner Ramp,10/1/2012
POINT (-78.85105683617823 42.874526336396656),100,PP,,M,1076528.554239609,1047460.5428018396,,VAN RENSELLAER / EXCHANGE,A5,Van Rensellaer / Exchange,12/1/2012
POINT (-78.8758517624692 42.89390982750641),100,PP,,M,1069906.829772144,1054546.9054996788,,DELAWARE / TUPPER,B22,Delaware / Tupper,12/1/2012
POINT (-78.85932712087111 42.843308655216035),100,PP,,M,1074274.4309757203,1036090.5630564705,,1425 FUHRMANN BD,A6,1425 Fuhrmann Bd,2/1/2012
POINT (-78.87989298998087 42.89129699680737),69,M,,M,1068820.5649804026,1053598.4550418183,GEORGIA ST & WHITNEY PL,GEORGIA / WHITNEY,B34,Georgia / Whitney,5/1/2013
POINT (-78.90029499810467 42.906408009439),69,M,,M,1063374.0349753313,1059125.5550469607,BUSTI AVE & MASSACHUSETTS AVE,BUSTI / MASSACHUSETTS,B29,Busti / Massachusetts,4/1/2013
POINT (-78.84241302525822 42.9010090278492),69,M,,M,1078875.2249897644,1057104.835045077,GENESEE ST & REED ST,GENESEE /REED,C23,Genesee / Reed,4/1/2013
POINT (-78.84111618411512 42.90496776510932),100,PP,,M,1079227.1128798856,1058546.5222297246,,,C24,MLK Casino,6/1/2013
POINT (-78.81261404147921 42.90736903739688),69,M,,M,1086865.7249972112,1059399.5650472194,BRINKMAN AVE & ROHE ST,BRINKMAN / ROHE,C25,Brinkman / Rohe,9/1/2013
POINT (-78.8136530467826 42.943406987014974),69,M,,M,1086623.3249969892,1072534.335059449,BAILEY AVE & DARTMOUTH AVE,BAILEY / DARTMOUTH,E28,Bailey / Dartmouth,7/1/2013
POINT (-78.85391795761362 42.88185504164174),69,M,,M,1075770.2149868794,1050133.9150385857,CLINTON ST & JEFFERSON AVE,CLINTON / JEFFERSON,C26,Clinton / Jefferson,8/1/2013
POINT (-78.89670499713158 42.9572929891499),69,M,,M,1064404.9249762893,1077666.9850642309,ONTARIO ST & PHILADELPHIA ST,ONTARIO/ PHILADELPHIA,D28,Tonawanda / Philladelphia,8/1/2013
POINT (-78.81307120974188 42.86783027327198),100,PP,,M,1086703.9241121628,1044990.1146758657,,HOUGHTON PARK,A8,Houghton Park,11/1/2013
POINT (-78.81352936121877 42.94021930146375),100,PP,,M,1086653.2621360773,1071372.4908904335,,BAILEY / E AMHERST,E41,Bailey / E Amherst,6/1/2014
POINT (-78.81382320209524 42.94884504518268),100,PP,,M,1086583.197711593,1074516.3642316952,,BAILEY / WINSPEAR,E29,Bailey / Winspear,6/1/2014
POINT (-78.87473303797388 42.8816136288979),100,PP,,M,1070191.098315054,1050064.5511496582,,WASHINGTON / SWAN,B46,Washington / Swan,9/1/2014
POINT (-78.87513749663191 42.88305239047826),100,PP,,M,1070084.5130371074,1050589.2786500966,,MAIN / CHURCH,B45,Main / Church,9/1/2014
POINT (-78.8758021589892 42.888963062353746),100,PP,,M,1069913.8583147984,1052744.0236521428,,FRANKLIN / HURON,B48,Franklin / Huron,9/1/2014
POINT (-78.87923088029147 42.887728208770014),100,PP,,M,1068993.4235916354,1052297.1955961545,,S ELMWOOD / NIAGARA,B47,S Elmwood / Niagara,9/1/2014
POINT (-78.86648296204709 42.90224195360876),100,PP,,M,1072427.5613726198,1057574.94615662,,ELLICOTT / E NORTH,B12,Ellicott / E North,9/1/2014
POINT (-78.84961880115821 42.87650466667594),100,PP,,M,1076916.2987842474,1048180.3157774796,,SENECA / EMSLIE,A9,Seneca / Emslie,9/1/2014
POINT (-78.90280198992664 42.91519172432158),100,PP,,M,1062714.5358150534,1062329.3080941036,,BRODERICK PARK,D27,Broderick Park,9/1/2014
POINT (-78.87307698575998 42.89016880562044),100,PP,,M,1070645.6818674277,1053180.9281516531,,MAIN / CHIPPEWA,B43,Main / Chippewa,9/1/2014
POINT (-78.87241463710615 42.8913904588292),100,PP,,M,1070824.708167664,1053625.5462072087,,643 MAIN,B44,643 Main,9/1/2014
POINT (-78.83906504382803 42.90722100505707),69,M,,M,1079779.1449906118,1059366.035047181,FILLMORE AVE & NORTHAMPTON ST,FILLMORE / NORTHAMPTON,C27,Fillmore / Northampton,10/1/2014
POINT (-78.83906801051528 42.909275006736955),69,M,,M,1079780.624990616,1060114.6150478795,FILLMORE AVE & RILEY ST,FILLMORE / RILEY,C28,Fillmore / Riley,10/1/2014
POINT (-78.8390760339817 42.911928971255406),69,M,,M,1079781.4149906114,1061081.8550487757,FILLMORE AVE & ROEDER ST,FILLMORE / ROEDER,C29,Fillmore / Roeder,10/1/2014
POINT (-78.8390800251723 42.913138021546885),69,M,,M,1079781.6849906147,1061522.495049201,FILLMORE AVE & WINSLOW AVE,FILLMORE / WINSLOW,C35,Fillmore / Winslow,10/1/2014
POINT (-78.81361964865556 42.909854088993995),100,PP,,M,1086598.793860163,1060305.9736048763,,BAILEY / DOAT,C36,Bailey / Doat,12/1/2014
POINT (-78.8105279091574 42.92261877526536),100,PP,,M,1087439.6210866952,1064955.79727213,,E DELAVAN / SUFFOLK,E42,E Delavan / Suffolk,12/1/2014
POINT (-78.87621598302108 42.877159109394654),100,PP,,M,1069787.9941530854,1048442.4956084583,,WASHINGTON / SCOTT,B49,Washington / Scott,4/1/2015
POINT (-78.80768042171717 42.919144733696754),100,PP,,M,1088198.919483846,1063687.6392324485,,LANG / HAGEN,E43,Lang / Hagen,8/1/2015
POINT (-78.81357252076769 42.91869184952066),100,PP,,M,1086620.232242172,1063526.8495108301,,BAILEY / LANG,E44,Bailey / Lang,5/1/2015
POINT (-78.81288200714187 42.937328009717426),69,M,,M,1086823.724997174,1070318.2850573882,BICKFORD AVE & DAVIDSON AVE,BICKFORD / DAVIDSON,E46,Bickford / Davidson,7/1/2015
POINT (-78.81767196189097 42.9444932834897),100,PP,,M,1085548.359037554,1072933.2091460545,,COMSTOCK / SHIRLEY,E47,Comstock / Shirley,8/1/2015
POINT (-78.81079769038087 42.940081854894444),100,PP,,M,1087384.5723735285,1071320.408352115,,SUFFOLK / WESTMINSTER,E48,Sufflok / Westminster,9/1/2015
POINT (-78.81365495499703 42.947410394678855),100,PP,,M,1086626.810040227,1073993.3811838664,,BAILEY / ROUNDS,E49,Bailey / Rounds,8/1/2015
POINT (-78.82291294110466 42.94009096311058),69,M,,M,1084140.534994673,1071332.73505833,E AMHERST ST & BERKSHIRE AVE,E AMHERST / BERKSHIRE,E50,E Amherst / Berkshire,9/1/2015
POINT (-78.87331535907391 42.88927868349169),100,PP,,M,1070580.6847164503,1052856.7455160553,,,B54,Fountain Plaza,7/1/2015
POINT (-78.87341124676037 42.88861216093875),100,PP,,M,1070554.1511915564,1052613.9217470952,,MAIN / HURON,B53,Main / Huron,7/1/2015
POINT (-78.87386554456766 42.88721527398207),100,PP,,M,1070430.6476925549,1052105.2500836651,,MAIN / MOHAWK,B51,Main / Mohawk,7/1/2015
POINT (-78.87283188712831 42.88704354449095),100,PP,,M,1070707.4471096636,1052041.709500454,,WASHINGTON / MOHAWK,B52,Washington / Mohawk,7/1/2015
POINT (-78.81364100944533 42.93505698393355),69,M,,M,1086618.2149969786,1069491.1650566086,BAILEY AVE & MILLICENT AVE,BAILEY / MILLICENT,E45,Bailey / Millicent,5/1/2015
POINT (-78.83234038936776 42.952504832971634),100,PP,,M,1081629.5855855716,1075864.3120101069,,MERRIMAC / LINEAR PARK,E51,Merrimac / Linear Park,7/1/2016
POINT (-78.8334740722014 42.95258090214211),100,PP,,M,1081326.1678549892,1075892.9363243128,,LINEAR PARK 360,E52,Linear Park 360,7/1/2016
POINT (-78.8370979134283 42.871770649221205),75,M,L,M,1080267.210013494,1046444.6575383022,1120 SENECA ST,1120 SENECA,A13,1120 Seneca - DPW,10/1/2016
POINT (-78.82986561917993 42.89464437638622),100,PP,,M,1082230.3183399267,1054775.1546520195,,BROADWAY / MEMORIAL,C4,Broadway / Memorial,2008-2010
POINT (-78.58333333333333 -90),0,,,,0,0,,66 Custer,E53,66 Custer,5/1/2017
POINT (-78.90159410737404 42.90409297007778),100,PP,,M,1063022.7979806936,1058283.1563163907,,Shoreline Deck,B56,Shoreline Deck,4/1/2017
POINT (-78.90122165906614 42.90175682899621),100,PP,,M,1063119.3691612494,1057431.376802503,,Shoreline Path,B55,Shoreline Path,4/1/2017
