OBJECTID,ID,NAME,ADDRESS,DEPARTMENT,INSTALL_YEAR,PS_14,PS_32,VDRVP_W_S,TOTAL_SITE_SERVERS,MONITOR,EXTERIOR_CAM,INTERIOR_CAM,PTZ_CAM,TOTAL_STATIONARY_CAM,TOTAL_SITE_CAMERA,TOTAL_SITE_CAMERA2,AVAILABLE_CAMERA_PORT,DESCRIPTION,X,Y,LATITUDE,LONGITUDE
602,247,"DC-DMV @ 301 C Street, NW","301 C Street, NW",PSD, , , , , , ,29, , , ,29, , ,DMV,398565.82049599,136228.17999811,38.89389907,-77.01653208
603,248,"DC-DMV @ 95 M Street, SW","95 M Street, SW",PSD, , , , , , ,8,24, , ,32, , ,DMV,398972.81049358,134387.20999817,38.87731548,-77.01183787
604,249,"CFSA @ 400 6th Street, SW","400 6th Street, SW",PSD, , , , , , ,6,21, , ,27, , , ,398316.61950187,135186.05999777,38.88451082,-77.01940212
605,250,"DHS @ 1207 Taylor Street, NW","1207 Taylor Street, NW",PSD, , , , , , ,3,7, , ,10, , , ,397637.7804965,141468.80999671,38.94110639,-77.02724782
606,251,"DHS @ 2100 MLK Blvd, SE","2100 Martin Luther King Jr. Ave, SE",PSD, , , , , , ,3,8, , ,11, , , ,400934.00949383,133068.70000437,38.86543792,-76.98923777
607,252,"DOES @ 609-625 H-Street, NE","609 H Street, NE",PSD, , , , , , ,4,12, , ,16, , , ,400174.18950098,136907.01999601,38.90001546,-76.99799191
608,253,"DMH @ 821 Howard Road, SE","821 Howard Road, SE",PSD, , , , , , ,6,3, , ,9, , , ,400169.36949788,132911.51000189,38.86402237,-76.99804846
609,254,"OCTO: ODC-2 @ 222 Mass Ave, NW","222 Mass Ave, NW",PSD, , , , , , ,5,5, , ,10, , , ,398706.71049606,136838.06999768,38.8993934,-77.01490916
610,255,Adams Elementary School,2000 Adams Place NE,DCPS,1999, , , , , ,2,12, , ,14, , ,DCPS,402059.6523363,139019.61111859,38.91904401,-76.97624959
611,256,Adams Place Bus Lot,2000 Adams Place NE,DCPS,1999, , , , , , ,5, , ,5, , , ,402143.50741293,138979.40662889,38.91868164,-76.97528276
612,257,Adams Place Warehouse,2000 Adams Place NE,DCPS,1999, , , , , ,4,10, , ,14, , , ,402059.6523363,139019.61111859,38.91904401,-76.97624959
613,258,DMH @ 1250 U-Street NW,1250 U Street NW,PSD, , , , , , , , , , , , , , ,397481.93949665,138760.4500009,38.91670821,-77.02903549
614,259,"DC General Health Campus, Bldg 1","1900 Massachusetts Avenue, SE",PSD, , , , , , , ,14, , ,14, , , ,402119.22949633,135264.83000036,38.88521947,-76.97557417
615,260,OCFO @ 301 C-Street,301 C Street NW,PSD, , , , , , , ,11, , ,11, , , ,398565.82049599,136228.17999811,38.89389907,-77.01653208
616,261,Transportation Bus Lot  - 5th Street,2115 5th Street NE,DCPS,2005,1,0,0,1,1,6,6,0,12,12,14,2, ,400070.47050081,138973.5200001,38.91863122,-76.99918739
617,262,Transportation Bus Lot - L Street,2nd Street & L Street SE,DCPS,1999,2,0,0,2,1,5,0,0,5,5,28,23, ,399715.46350019,134434.54299669,38.87774243,-77.00327917
618,263,William H. Rumsey Aquatic Center,635 Nth Carolina Ave. SE,DPR, , , , , , ,0,4,0, ,4, , ,DPR,400257.78950008,135416.13999821,38.88658505,-76.99702871
619,264,John Wilson Building,"1350 Pennsylvania Avenue, NW",PSD, , , , , , , ,36, , ,36, , , ,397280.14050128,136350.99000202,38.89500235,-77.03135287
620,265,DC-DMV @ Penn Branch,"3220 Pennsylvania Avenue, SE",PSD, , , , , , ,16, , , ,16, , ,DMV,403495.50049477,133555.82000284,38.86981964,-76.95972024
621,266,CCTV,100 Block M St NW,MPD, , , , , , , , , , , , , ,Neighborhood,398887.81446107,137533.08233394,38.90565457,-77.01282251
622,267,CCTV,Wisconsin Ave NW and M St NW,MPD, , , , , , , , , , , , , ,Homeland Security,394551.88585001,137481.82322877,38.90517663,-77.06281147
623,269,CCTV,600 block of I St NW,MPD, , , , , , , , , , , , , ,Neighborhood,398186.2296609,137001.8505242,38.90086788,-77.02090975
624,270,CCTV,14th & Parkwood Pl NW,MPD, , , , , , , , , , , , , ,Neighborhood,397162.03001037,140823.98000057,38.93529616,-77.03273286
625,271,CCTV,1300 block of Columbia Rd NW,MPD, , , , , , , , , , , , , ,Neighborhood,397302.28252462,139967.52751878,38.92758142,-77.03111184
626,272,CCTV,Kalorama & Champlain St NW,MPD, , , , , , , , , , , , , ,Neighborhood,396465.71874555,139109.35938977,38.9198478,-77.04075522
627,273,CCTV,Colorado & Kennedy St NW,MPD, , , , , , , , , , , , , ,Neighborhood,397102.74645892,143145.92960144,38.95621275,-77.03342644
628,274,CCTV,Wheeler Rd & Bellevue St SE,MPD, , , , , , , , , , , , , ,Neighborhood,401020.33999864,129429.27000529,38.83265225,-76.98824842
629,275,CCTV,Monttello Ave & Mt Olivet Rd NE,MPD, , , , , , , , , , , , , ,Safe Cities,401301.69001477,138037.71001396,38.91020017,-76.98499172
630,276,CCTV,Monttello Ave & Queen St NE,MPD, , , , , , , , , , , , , ,Safe Cities,401113.09001571,137689.41999725,38.90706291,-76.98716681
631,277,CCTV,Trinidad Ave & Meigs Pl NE,MPD, , , , , , , , , , , , , ,Safe Cities,401430.53001438,137698.81001264,38.90714704,-76.98350692
632,278,CCTV,Trinidad Ave & Mt Olivet Rd NE,MPD, , , , , , , , , , , , , ,Safe Cities,401542.63001472,137904.53999703,38.90900014,-76.98221402
633,279,CCTV,1500 block Levis St NE,MPD, , , , , , , , , , , , , ,Safe Cities,401551.99871992,137402.14905413,38.90447441,-76.98210714
634,280,CCTV,Bladensburg Rd & Neal St NE,MPD, , , , , , , , , , , , , ,Safe Cities,401533.51830398,137098.1047647,38.9017355,-76.98232088
635,281,CCTV,Holbrook St & Neal St NE,MPD, , , , , , , , , , , , , ,Safe Cities,401393.97001583,137174.57001275,38.90242456,-76.9839295
